"time_index","census_from","census_to","census_duration","mid_date","census_lag","POR_leaf_sd","POR_leaf_mean","POR_flower_sd","POR_flower_mean","POR_branch_sd","POR_branch_mean","POR_epi_sd","POR_epi_mean","POR_bamboo_sd","POR_bamboo_mean","POR_dust_sd","POR_dust_mean","PHQ_leaf_sd","PHQ_leaf_mean","PHQ_flower_sd","PHQ_flower_mean","PHQ_branch_sd","PHQ_branch_mean","PHQ_epi_sd","PHQ_epi_mean","PHQ_bamboo_sd","PHQ_bamboo_mean","PHQ_dust_sd","PHQ_dust_mean","RTM_leaf_sd","RTM_leaf_mean","RTM_flower_sd","RTM_flower_mean","RTM_branch_sd","RTM_branch_mean","RTM_epi_sd","RTM_epi_mean","RTM_bamboo_sd","RTM_bamboo_mean","RTM_dust_sd","RTM_dust_mean","PAK_leaf_sd","PAK_leaf_mean","PAK_flower_sd","PAK_flower_mean","PAK_branch_sd","PAK_branch_mean","PAK_epi_sd","PAK_epi_mean","PAK_bamboo_sd","PAK_bamboo_mean","PAK_dust_sd","PAK_dust_mean","NAL_leaf_sd","NAL_leaf_mean","NAL_flower_sd","NAL_flower_mean","NAL_branch_sd","NAL_branch_mean","NAL_epi_sd","NAL_epi_mean","NAL_bamboo_sd","NAL_bamboo_mean","NAL_dust_sd","NAL_dust_mean","BAB_leaf_sd","BAB_leaf_mean","BAB_flower_sd","BAB_flower_mean","BAB_branch_sd","BAB_branch_mean","BAB_epi_sd","BAB_epi_mean","BAB_bamboo_sd","BAB_bamboo_mean","BAB_dust_sd","BAB_dust_mean","CAR_leaf_sd","CAR_leaf_mean","CAR_flower_sd","CAR_flower_mean","CAR_branch_sd","CAR_branch_mean","CAR_epi_sd","CAR_epi_mean","CAR_bamboo_sd","CAR_bamboo_mean","CAR_dust_sd","CAR_dust_mean","HEL_leaf_sd","HEL_leaf_mean","HEL_flower_sd","HEL_flower_mean","HEL_branch_sd","HEL_branch_mean","HEL_epi_sd","HEL_epi_mean","HEL_bamboo_sd","HEL_bamboo_mean","HEL_dust_sd","HEL_dust_mean","ULA_leaf_sd","ULA_leaf_mean","ULA_flower_sd","ULA_flower_mean","ULA_branch_sd","ULA_branch_mean","ULA_epi_sd","ULA_epi_mean","ULA_bamboo_sd","ULA_bamboo_mean","ULA_dust_sd","ULA_dust_mean"
1,"1996/2/12","1996/2/26",14,"1996/2/19",0,NA,1.01638630199002,NA,0.0917291086991046,NA,-0.0494620881682645,NA,3.03360021479718,NA,-0.536541839230767,NA,3.81783902863675,NA,-0.945758525792298,NA,-0.717720360424597,NA,-0.345858629479775,NA,-0.613891308270752,NA,-1.13800388650803,NA,0.988361105957678,NA,-0.174957394223446,NA,-0.781211385399472,NA,-0.413473099348105,NA,-0.264151601840938,NA,-0.295694793167272,NA,1.00547273072997,NA,0.148774478461489,NA,-0.738997380591846,NA,1.04759093046519,NA,-0.453949842938788,NA,-0.0999746719596275,NA,4.04783070083171,NA,-0.619076795960936,NA,0.0594092208659882,NA,-0.175789559877521,NA,-0.953334379268521,NA,5.82854072522322,NA,3.10304679477899,NA,-0.629934345524479,NA,-0.671626352291381,NA,-0.211458100261409,NA,-0.336124002166992,NA,-0.102945464322202,NA,NA,NA,-0.677871003569919,NA,-0.405182954870194,NA,-0.315529279028816,NA,-0.381578127277427,NA,-0.393705083477911,NA,0.704698168343787,NA,-0.564092117004278,NA,-0.0353133212131899,NA,-0.0883187883665643,NA,0.247729031404504,NA,0,NA,1.75232472490743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1996/2/26","1996/3/11",14,"1996/3/4",0,NA,0.0270461341662067,NA,-0.34032870140149,NA,-0.32192571198678,NA,1.42931696946326,NA,-0.748978159739132,NA,0.849478797604501,NA,-0.380542797843799,NA,0.865420790739937,NA,-0.154859836358532,NA,0.169325401605819,NA,-0.593593290641424,NA,0.996022017585334,NA,0.0272531381501123,NA,-0.51452385896004,NA,-0.229310774688781,NA,-0.302229234016309,NA,-0.260059001185605,NA,0.769745365075276,NA,-0.175146699428764,NA,-0.759595301700078,NA,-0.648374805496527,NA,-0.290106959806849,NA,-0.0999746719596275,NA,1.54809715976633,NA,-0.246580180838738,NA,-0.154478410506269,NA,-0.900145345642862,NA,0.0223048080867728,NA,0.841192654136511,NA,1.45794148556013,NA,-0.514756420186939,NA,-0.697301665149416,NA,-0.428054241241875,NA,-0.483428455521863,NA,-0.102945464322202,NA,NA,NA,-0.0762764588044115,NA,-0.346179048378982,NA,-0.244595898211001,NA,-0.360499387448879,NA,3.39349320099949,NA,1.00931325996682,NA,-0.60198310087147,NA,-0.0786485584084431,NA,-0.221147283710902,NA,0.517810485949558,NA,0,NA,2.01502661745029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1996/3/11","1996/3/25",14,"1996/3/18",0,NA,1.19325686736579,NA,0.380604970103572,NA,0.0280275663122311,NA,-0.300792412759605,NA,0.409765406670131,NA,11.7563318313764,NA,0.0521681440654909,NA,0.10202910296157,NA,-0.253557777301567,NA,0.263311406791008,NA,-1.02912176733471,NA,2.32902064079735,NA,0.727444832339149,NA,-0.489125046918189,NA,0.234682614712633,NA,-0.0547246248763956,NA,0.167570502594395,NA,1.87766398365236,NA,0.280845344983266,NA,-0.0798639051284187,NA,1.04375390391324,NA,-0.20818551824088,NA,-0.0999746719596275,NA,3.82910401598849,NA,0.362585554388724,NA,-0.366102680699984,NA,-1.05750539565395,NA,0.314996564293361,NA,-0.113416937594929,NA,2.71480194180334,NA,0.701010569487096,NA,0.227009597739816,NA,-0.15495475913607,NA,-0.630732908876735,NA,-0.102945464322202,NA,NA,NA,-0.186282318418676,NA,-0.316677095133376,NA,-0.255945239141851,NA,-0.107554509506301,NA,-0.393705083477911,NA,1.0473901464197,NA,-0.0762456997141726,NA,0.376371432141716,NA,-0.199009201153513,NA,0.247729031404504,NA,0,NA,2.01502661745029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1996/3/25","1996/4/8",14,"1996/4/1",0,0.874453540844346,2.08044718994585,0.959864570144801,2.02594139810293,-0.461542937000522,0.155510546264014,0.0797522125324452,0.0137729294627336,-0.450025987994105,-0.266168340401939,1.72108904003568,3.54968883969896,2.51718629711377,0.385500496445375,-0.240277829321848,0.178880615154023,0.00487679542818915,-0.12561600200504,0.3606190319334,1.20317145864289,-0.817386977619448,-0.702475409814745,-0.10115555187579,0.919412901308781,-0.555357016113218,-0.180993529518179,-0.308030223789069,-0.197038708436907,-0.311098987745941,-0.222135619182574,-0.204605236639475,-0.0737634409640812,-0.123318558374258,-0.0996979372681048,-0.231031290832349,0.203999687504,-0.282026834993201,-0.628358304545598,-0.227092627140761,-0.22816893710769,-0.645723580422343,-0.605016405459497,-0.462972122407249,-0.442480841119553,-0.10055119820306,-0.0999746719596275,-0.30277912503592,0.45446373555022,1.56763868687876,0.959692176807876,0.526191433391011,0.00502899042086814,0.0634583781606752,0.970690804489003,-0.0358743672722989,0.792546271582923,0.0462816249656414,0.0403869708062865,2.84994588022236,1.71146087222902,0.952245691826063,0.49624981333147,-0.194129115942578,-0.0639772813179049,-0.492213577438591,-0.346124396610134,-0.175073684644746,0.113154580565367,-0.0895248688618456,-0.102945464322202,-0.221380160958755,0.235197011032984,-0.904984919969131,-0.610836182867477,0.205235814647555,0.18603618817175,-0.464452763344822,-0.284318591468977,0.205452108481814,0.440492726035951,0.438575632292016,0.363734573417569,3.37763051902609,1.99931230774168,-0.466968291319245,-0.445682792419301,-0.0170505282922887,0.15969524616545,-0.258722023780991,-0.199009201153513,0.566891507626721,0.787891940494612,0,0,0.0740195652402317,1.09556999355027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1996/4/8","1996/4/22",14,"1996/4/15",0,1.05917773566894,3.77632378737233,0.658754539246968,2.46804706425238,-0.167968784084423,0.705437126448175,-0.318860008156076,-0.363705481204072,0.261346340378198,0.361484424736412,3.20276161647446,4.95903634434873,1.90067161454384,0.395852432854688,-0.570852100743341,-0.38982057507013,-0.101427685367811,-0.297423528831804,0.097600366511417,0.325968743581133,-1.05698784819281,-0.971051303775602,0.0323948627191544,1.0879529571172,0.923431360576126,0.730462899986515,8.561911851617,5.18750944443543,0.477110238382762,-0.014056109502558,-0.15948974551981,-0.0928022570517669,-0.435758080026111,-0.256495421987438,-0.0812440715509711,0.380795211745024,0.18510869220309,0.0764830567864111,0.347597761229097,0.0952184242915541,-0.63982980007523,-0.652211832048476,0.714989763410529,0.556414603041502,-0.10055119820306,-0.0999746719596275,-0.204928036851286,0.735683758920076,1.03236506112645,1.48007539975532,0.0465495953532858,-0.155949595272322,6.67993162674816,3.65080721182077,-0.0273785589190368,0.51012440176442,2.63972984988193,1.67891127545186,4.37229618709543,2.4581655135652,3.86223160294646,2.21020703561629,-0.0594974565510954,-0.0494279373650189,-0.526770081113284,-0.339532340145511,0.360070932416044,0.993298689360724,0.0762688901339637,0.0624271278344111,-0.0121810307311705,1.27600623922198,0.0289872745735253,0.0474801332616358,-0.238738350549033,-0.110163422414134,-0.522155472315881,-0.342483963739585,-0.3008687938051,-0.301478915928944,-0.390764274973954,-0.393705083477911,-0.225473478116712,0.323929303814995,0.453148987442543,0.605792009895295,0.428038044975669,0.744720948301369,-0.25379481765588,-0.193253299688591,-0.000698453060230775,-0.0223524231405504,0,0,2.55813227173971,3.19718513389317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1996/4/22","1996/5/6",14,"1996/4/29",0,-0.0907268558993442,0.970040538870169,0.058503087128377,0.996036153095698,0.456918459910754,1.23286671017026,1.29271841093402,1.11475162724092,0.567337501704342,0.796013262139885,2.66857798319849,3.87396348678652,2.85691661390556,1.15154379073455,-0.562927236660154,-0.384697140923967,0.393509307241881,0.150372684706039,-0.606164557646762,-0.400856363184324,-0.785949619963614,-0.738769449539185,0.236923706628442,1.39438942222341,-0.0183791151773821,0.398475458776196,-0.476406200535209,-0.552622077022816,-0.360225626509768,-0.303454048252925,-0.137202259447816,-0.264151601840938,-0.559745322858293,-0.349148481139772,-0.0658573538844039,0.475086158006903,0.516786748095272,0.457403240228168,-0.600876292501486,-0.697801538375382,-0.763826959086511,-0.717441283431619,-0.404734767172875,-0.363563185744335,-0.10055119820306,-0.0999746719596275,0.784976447638981,1.73557717534623,0.134387626780408,0.32759968446012,-0.601474420772158,-0.388170452190772,0.0532396835850438,0.501108433027333,0.00463564752775386,0.121820005197013,0.679887830120287,0.607410713304322,1.19450625904437,2.47790677727583,0.953708455382128,0.993525935423706,1.34070972041445,0.182505722119224,-0.512693612854792,-0.374376067172803,-0.304667582023507,-0.358219670170223,-0.0895248688618456,-0.102945464322202,-0.00753130190833851,1.31528205915364,-0.234432206324392,0.126546844859388,-0.222909430118707,-0.28717514188777,-0.505582678097939,-0.277508986910467,0.0653011360789727,-0.0453722270120843,-0.390764274973954,-0.393705083477911,4.90941190087443,3.29392644713957,0.431361031459093,0.695783096579877,0.562983125209044,0.809723804094248,-0.251270581610154,-0.208351471992731,-0.276891164574315,-0.292433877685604,0,0,2.9656289951265,2.67178134880745,-0.541376246993933,-0.176964364197563,0.821239114347329,0.941987115557815,-0.0551129917913145,-0.0829343583336734,-0.178951384486092,-0.269244445796901,1.77477062623962,1.65247324240924,9.00533609838687,5.49290346371862
7,"1996/5/6","1996/5/20",14,"1996/5/13",0,0.76423405386614,0.382678928718554,3.37138274881767,5.13324088121011,1.44433379320602,1.37284802148986,0.0783155700289819,0.0452294636849674,-0.513482315725826,-0.64275999948495,1.02750324085207,2.64546145839712,1.52950613249402,1.43932762291345,-0.436672446082867,0.0200541566229528,0.292419017693481,1.40968530155328,-0.15190543481405,0.535870821828054,0.760185036784033,1.10133836448993,0.242044456276422,3.07212906867992,0.73712434886545,0.437710338191961,-0.444745679279101,-0.438327422834488,0.325514277608645,0.251424644227117,0.615386798520024,1.011449076034,-0.358571020161733,-0.288567634770938,-0.087673728419734,0.722599891944336,-0.285571974911925,-0.239096803218256,-0.541104431437019,-0.709336374195992,-0.545714953349189,-0.540938062041939,-0.310830653646689,-0.273722671493656,-0.10055119820306,-0.0999746719596275,0.0838317720623098,1.76682384460955,-0.500121502028311,-0.1917003848723,-0.575727407266709,-0.434003516056256,-0.972400541409348,-1.57454555997611,0.28362061397684,0.24670182117849,6.82173806409372,4.50377639384081,0.859831918059561,1.359235167007,0.467096891044423,0.446599179283124,0.219694657256899,-0.0842472651306728,0.0947448832130808,-0.112081609938948,-0.276381745894673,-0.169437383877623,-0.0895248688618456,-0.102945464322202,-0.129624406845331,0.841905071711295,1.02535899416796,0.915495119280439,0.0417002206285,0.066848297059502,-0.431949313532246,-0.169690248067389,0.994649824927127,0.661819494235706,0.438575632292016,0.363734573417569,1.63301751731545,2.95123446906366,0.486331378209576,0.694835821983197,0.252387770933268,0.300534767050023,0.71498037254123,0.270318149063149,0.827879681482023,0.787891940494612,0,0,3.29660219729601,6.50722897993324,0.790035879185275,0.378519422844137,1.25279078504724,1.37049126208766,-0.0164095577565333,0.0608429437599468,-0.0974532644793845,0.144378920094738,0.770598633155359,0.673416343723841,6.72113242401982,6.80898142575409
8,"1996/5/20","1996/6/3",14,"1996/5/27",0,0.154388157202777,1.42737515322836,-0.172347479967975,0.140381885475687,0.0521943863579496,0.601503633942088,-0.548915487560701,-0.615357754981943,0.323867006469254,0.62067706446406,1.20861865869719,3.51653930577388,2.77472461454462,1.0376724902321,-0.268121157395635,-0.384697140923967,-0.039009358470375,-0.089061209063175,0.402463552075333,0.316570143062615,-0.645864315060217,-0.767804681318737,0.151978602326013,1.49398127338293,0.26093542305069,0.422619999955129,-0.483875059185026,-0.603419701106517,-0.421439918064286,-0.305845766754994,-0.295799697431762,-0.288902062754929,-0.598401190397073,-0.423983644301272,-0.201466017171048,0.522231631137843,0.0850177590389497,0.0167036119397121,-0.390438877726037,-0.636007775050686,-0.712426910404308,-0.677919909946539,-0.339087762585239,-0.363836257216222,-0.10055119820306,-0.0999746719596275,0.0198678547512617,0.985657113026614,-0.200671863542737,0.307705758422286,-0.238155489657271,-0.299333525932983,0.049454721621848,0.228850568722429,1.80906348544969,3.28093969385345,-0.185884583296919,-0.169914239962708,2.71010620603776,3.49129164775464,-0.295305563121737,0.0761438637737603,-0.642144245288501,-0.587843752474884,0.200447643775533,-0.00502264783150875,0.393595240918255,0.698883604377661,-0.0895248688618456,-0.102945464322202,-0.0953091980827935,0.862576555317387,-0.224009202205315,0.0113844605757052,-0.273894057560691,-0.18686850085271,-0.189396276033867,-0.159475841229624,-0.186381999844026,-0.191869468820494,-0.266363288884059,-0.280089134943589,0.203889639892773,1.39008212449561,-0.173817305348725,0.0942637276881941,-0.163721471971818,-0.0136457026155633,-0.266059808663243,-0.221014455215558,-0.276891164574315,-0.292433877685604,0,0,1.14773126650599,1.18751565594027,0.303973863522102,0.236957980840961,-0.128161995253862,0.213080586583102,-0.0543307261217745,-0.0860885221821623,-0.230227446355435,-0.247086051195563,0.923741561116082,1.65247324240924,2.0267309128827,4.51955413762989
9,"1996/6/3","1996/6/17",14,"1996/6/10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2596889424939,0.560448221762767,-0.306868918449325,-0.271981589708369,-0.0840712124413526,-0.121960522710853,-0.366923443706761,-0.37861300862383,0.631539635768131,0.128658099874937,0.0783835171355839,0.919412901308781,-0.00841903727522181,0.298879226413101,7.96977280193169,4.72906088708002,0.0673757903534099,0.112704971107107,4.57319709483228,2.49647673087348,0.381103525314941,-0.199478154816772,0.202195718142021,0.89939541618536,0.418350116391391,0.372599841724711,-0.284996337870544,-0.368234800643668,0.607764116250998,0.33812472100971,-0.44329497835321,-0.481530061599331,-0.10055119820306,-0.0999746719596275,2.73545364167466,2.86045726882565,-0.798722829326593,0.00723887550603793,-0.131168224203341,-0.384209570128323,0.153454021049508,0.988175254490235,0.516303723537809,1.33941771101642,-0.130849224918059,-0.00626688138017552,1.09509274080705,2.55687183211833,0.0601159591904801,0.0799927498789968,-0.0900991206438272,-0.480638060185956,-0.446367781123349,-0.276635199877961,-0.180498787156607,-0.181066682691017,-0.0555518564813236,-0.0681301810666097,-0.118973622087645,1.0279484290756,-0.246745544965529,-0.141592437950381,-0.205477277435639,-0.28717514188777,0.361247143355639,-0.11124114227351,-0.188927487834965,-0.227703326529026,1.26791553955799,1.12117423031305,0.227821886728946,0.666621281890908,-0.00620422564410013,0.084790981721396,-0.0864860713009294,-0.0331465593534272,-0.132982329362127,-0.152829160938798,-0.276891164574315,-0.292433877685604,0,0,2.0097674930965,2.15951265834887,-0.213261262730538,0.286628662245584,-0.0622431683811952,0.347924548777807,-0.0159473037112253,0.0115591336273074,-0.105108997888147,-0.109704004667269,0.626620286445238,0.617788110843989,1.23282379278481,3.18976703015655
10,"1996/6/17","1996/7/1",14,"1996/6/24",0,0.318669881510013,0.104604349999431,-0.0217650093859582,0.260030697517359,-0.629212478331069,-0.406914365287969,-0.270994028658434,-0.269335878537371,-0.207328183718025,-0.362730304269378,0.553214194711495,2.02185636784413,-0.525028715834022,-0.350522182256791,-0.523292058533686,-0.401604473606306,-0.10472951111724,-0.248074558360287,-0.139652089263324,0.00328345911198622,-0.945094334432002,-0.891204416381834,0.053657258272884,0.973039282702368,-0.795503175103245,-0.522035173670598,-0.31521634713275,-0.425628016813563,-0.319466321646594,-0.267578270721888,0.215254235929147,0.00810346821296706,-0.619303695103112,-0.444296045730822,-0.143405044170184,0.29829063376588,-0.236501527942721,-0.336412178550092,0.0311279097693848,-0.460925445630713,-0.74079479980921,-0.643386670978992,-0.456082343471231,-0.412989122155804,-0.10055119820306,-0.0999746719596275,0.240304264113303,1.3293704749231,-0.420684990191912,-0.0174570326788592,-0.143170911334411,-0.328757221254034,0.730569410207199,-0.220749574166404,0.20308217666363,0.0710867674545375,-0.407996734014982,-0.4894162257667,0.892943322178289,1.90541012966766,-0.0044245097470817,-0.246200371763707,-0.702776362688788,-0.653608588864217,-0.56052693736298,-0.375763868523863,-0.402946255015493,-0.382641197788828,-0.0895248688618456,-0.102945464322202,-0.167374201841028,0.273439256342487,-0.173964767937221,-0.127841705498598,-0.264987312035508,-0.228171235396558,-0.550155517450172,-0.32545995234331,-0.313495877281747,-0.328881277706057,0.0239056786590308,-0.0149852550301708,0.239169069203964,0.55239062253227,0.22865886579837,0.316873257907951,-0.108663980049909,0.0730247717749432,-0.203300227771867,-0.153847512736438,1.38026510451019,1.32805484958472,0,0,-0.0735950035595961,0.911678668770269,-0.603007087598617,-0.686088848594948,-0.0730294848363391,-0.0678443346558672,-0.0263842779051865,-0.0486328264813563,-0.0303594408246912,0.183377694593092,-0.423241315660172,-0.456949348394751,0.536415109558977,2.4494731765116
