"time_index","date","year","month","day","ATC","relative_humidity","Act_VP_kPa","SD_kPa","Corrected_SD_kPa","PAR","wind","rain","Dr..Inv.rel.dist.Earth.Sun.","Delta.Solar.decli.","WS.Sunset.hour.angle.","Ra.Extraterrst.radi.","Rso.Clear.sky.sol.rad.","Rns.sol.radi..MJ.m2.d","Rnl.Net.outgo.longwav.rad.","Delta.Slope.of.the.sat.vp.","ETwind..mm.day.","Etrad.mm.day.","ET0_potential_evp","X30day_run_total_rain","X30day_run_total_ET0","X30day_run_toal_ET0_rain"
1,"1996/1/1",1996,1,1,1.19616328881418,0.525854535320991,1.34844189000962,-0.483284428048703,-0.484221361470603,0.200717979620211,-0.715896741453579,-0.470756068850556,1.44395723614579,-1.41711056721323,-1.43446897787732,-1.89989399901084,-1.89989399753595,0.201514017770223,0.349517294450281,1.1817854218293,-0.60528670364519,0.626439634710939,-0.139588363344019,NA,NA,NA
2,"1996/1/2",1996,1,2,0.507412556726632,0.974585063479677,1.44505250329995,-0.904350960072728,-0.905571793983587,-1.23355275521318,-0.764605203444033,1.65386653837962,1.44332672560353,-1.41211075038815,-1.42881968079752,-1.87961076935932,-1.87961076873909,-1.23133229779006,-1.05664810776757,0.4797693077189,-0.753437485159433,-0.915300180358062,-0.999463396205709,NA,NA,NA
3,"1996/1/3",1996,1,3,0.498277931632634,1.0386894246452,1.53736931155515,-0.971216755017869,-0.972482672616069,-1.07023067131102,-0.907837458106186,0.177079676960612,1.44227611635635,-1.4067012664418,-1.4227153235276,-1.85790866911193,-1.85790866778938,-1.06817241406295,-0.894583819562009,0.470621765529245,-0.783463879860333,-0.673630555715359,-0.903802488189351,NA,NA,NA
4,"1996/1/4",1996,1,4,1.24285137262796,0.73399674040146,1.65831148671119,-0.71895278806419,-0.720048618851595,-0.223660325650595,-0.713886386107948,-0.380198383952221,1.44080566427599,-1.40088371207808,-1.41615948995487,-1.83480727816459,-1.83480728482006,-0.222442823807387,-0.0736319401533682,1.23026122462515,-0.68613369022239,0.186961582855035,-0.413072301131412,NA,NA,NA
5,"1996/1/5",1996,1,5,0.206680399465299,0.489325793204322,0.701508598050697,-0.488762589562281,-0.489703216587481,-1.66063555111479,-0.468289211097596,0.776153592441907,1.43891583846058,-1.39465981215287,-1.40915598211623,-1.81032759554435,-1.81032759724849,-1.65799094449303,-1.52763028345669,0.180835099462905,-0.519151527046614,-1.4564081676077,-1.09090563374418,NA,NA,NA
6,"1996/1/6",1996,1,6,1.74728566948548,-0.0203575968000198,0.856085579315218,0.123502520778774,0.122974708240071,0.0533475320733943,-0.284464098681596,-0.275708747531064,1.43660719329883,-1.3880314058197,-1.40170891369099,-1.78449199827513,-1.78449199499949,0.0542899286610654,0.198690912834534,1.76132489642417,-0.134745422966377,0.258330408330326,0.0268330811994943,NA,NA,NA
7,"1996/1/7",1996,1,7,1.27634499797262,-0.180582687221564,0.471074394498954,0.192409199425053,0.191927846621979,-0.0909459500850826,0.230513274357901,0.810983471248959,1.4338804111153,-1.38100046038405,-1.39382252301538,-1.75732423452201,-1.75732423846644,-0.0898602511748338,0.0536894656023343,1.26510745714219,0.212386120589416,-0.209133360511344,0.0541795444444837,NA,NA,NA
8,"1996/1/8",1996,1,8,-0.281717555560534,0.431237930740365,0.380904488761315,-0.456538110070647,-0.45745701001761,-1.6498013940369,0.315823556552574,1.52847897467423,1.43073630217042,-1.37356905398551,-1.38550139123227,-1.72884940987986,-1.72884940806455,-1.64716754679694,-1.54214870926872,-0.295010750802665,-0.266153567564519,-1.71087387692509,-1.02896849817487,NA,NA,NA
9,"1996/1/9",1996,1,9,0.277727483529739,0.864855587160585,1.20531505550544,-0.823682346412003,-0.824848790203676,-1.22124489365982,-0.640719837126551,3.1167214482758,1.42717576201517,-1.36573938598849,-1.37675019297721,-1.69909393252765,-1.69909392945426,-1.21903665948555,-1.06511611507387,0.251046349350433,-0.709002357236982,-0.96324066765327,-0.990167077588812,NA,NA,NA
10,"1996/1/10",1996,1,10,0.617129553689002,1.02515230256667,1.57028848349112,-0.954245195818942,-0.955499670489271,-1.14011017473569,-0.963615546090685,2.9147081511949,1.42319989942696,-1.35751377351863,-1.36757388336391,-1.66808552693985,-1.66808552309448,-1.13798251783929,-0.971251604374295,0.58996985933379,-0.783548201695443,-0.704927269091453,-0.919109841289164,NA,NA,NA
