"time_index","date","year","month","day","ATC","relative_humidity","Act_VP_kPa","SD_kPa","Corrected_SD_kPa","PAR","wind","soil_moist","STC","ET_mm","rain","water_surplus","X10day_run_mean_corrected_SD","X30day_run_mean_corrected_SD","ET0_potential_evp"
1,"1996/1/1",1996,1,1,-1.4985347299529,0.405933586546343,-1.12820937160891,-0.646554069097941,-0.647668124512005,-0.811183364685929,-0.927105462797202,-0.0994191714742112,-2.31133808802934,-0.648148462067871,-0.429487393033461,-0.122022358222074,NA,NA,-0.901529952179497
2,"1996/1/2",1996,1,2,-2.21993755641607,1.13030447175725,-1.09144247583296,-1.30062824386759,-1.30237701078505,-1.60293974665143,-0.927105462797202,-0.0995046251104828,-2.45899140267003,-1.30098904097542,0.295354401100622,0.709802158043334,NA,NA,-1.6214792239595
3,"1996/1/3",1996,1,3,-1.53083634904826,0.403832945989907,-1.20109812990157,-0.616172273909143,-0.617256846925577,-0.999624422965626,-0.927105462797202,-0.0995697326428803,-2.53314044714025,-0.61780598038126,-0.120221560869586,0.122023157683744,NA,NA,-1.04889306198219
4,"1996/1/4",1996,1,4,-1.0149077107195,-0.412265910185354,-1.5732823204756,0.0820463895963707,0.0816393657550969,0.37670448925463,-0.927105462797202,-0.099613273305171,-2.42804223628246,0.0791388495221177,-0.497139293819309,-0.438828220707327,NA,NA,0.144593510546313
5,"1996/1/5",1996,1,5,-2.63268046707907,1.29940603655032,-1.37977234270747,-1.43107088019101,-1.43294622822877,-2.25441898383517,-0.927105462797202,-0.0996946577206678,-2.60277607151228,-1.43121533216441,1.53241772975612,1.77628735628589,NA,NA,-2.14755960009544
6,"1996/1/6",1996,1,6,-1.52993908185117,1.03402511292061,-0.467050280901139,-1.15101305018145,-1.15261663098978,-1.28866869139142,-0.927105462797202,-0.0997605790972202,-2.63179091500063,-1.15169604037253,-0.0622342173388593,0.36144795739378,NA,NA,-1.34429914181532
7,"1996/1/7",1996,1,7,-1.27960153386208,0.81905956264536,-0.411577420607609,-0.94660675577021,-0.948011981359158,-0.934784488933903,-0.927105462797202,-0.0998069682140534,-2.60728949161047,-0.947666712162338,1.4744303862254,1.55493115025177,NA,NA,-1.02622994186463
8,"1996/1/8",1996,1,8,-2.38324018628708,1.39796108932309,-1.02629411665103,-1.46859369561649,-1.47050545567526,-1.84042613628231,-0.927105462797202,-0.0998541711750415,-2.75945622634935,-1.46866066252675,1.25214556935761,1.55869145722489,NA,NA,-1.8305713536948
9,"1996/1/9",1996,1,9,-1.35497197841794,0.589214475095356,-0.811498041328406,-0.697147115502078,-0.698310266247808,-0.561144369076096,-0.927105462797202,-0.0999139887204316,-2.90968863818901,-0.69862308046974,1.62906330230733,1.59301222510666,NA,NA,-0.694658800524303
10,"1996/1/10",1996,1,10,-1.54608989139885,0.902735078143383,-0.587671500376605,-1.0898166706986,-1.0913608667345,-1.33253695925976,-0.926779285155686,-0.0999388109671581,-2.86971263160507,-1.09056714895708,1.1554999968064,1.3433182819891,-1.18446155997927,NA,-1.36983175698723
11,"1996/1/11",1996,1,11,-1.41957521660867,0.76374269465922,-0.621858263115641,-0.955392374606857,-0.956806125732441,-0.974701573322182,-0.927105462797202,-0.0999624124476522,-2.85939624280921,-0.956389898192213,0.759253149346434,0.968522431246789,-1.22380239986545,NA,-1.058895045092
12,"1996/1/12",1996,1,12,-1.9390929237258,1.16671557473547,-0.752154981479514,-1.30240267919913,-1.304153168023,-1.60830930368843,-0.927105462797202,-0.099993338525541,-2.88067379470067,-1.30278694954646,0.846234164642524,1.16455233247679,-1.22402843327847,NA,-1.62143010056466
13,"1996/1/13",1996,1,13,-0.727782207649583,-0.43379747588882,-1.20948356227152,0.157438251731535,0.15710438791401,0.581659468233031,-0.927105462797202,-0.100019788460577,-2.84585598251465,0.154384652680577,-0.50680385107443,-0.473802262258156,-1.12548337821044,NA,0.352026882082911
14,"1996/1/14",1996,1,14,-0.689199718174564,-0.589945090583872,-1.45588626729627,0.397549647326192,0.39744878684492,0.857229187867856,-0.927105462797202,-0.100052342226776,-2.84843507971362,0.394127991888398,-0.468145622053946,-0.527984143029725,-1.08529353477291,NA,0.598138510307122
15,"1996/1/15",1996,1,15,-2.25762277869399,1.26807148158349,-1.0185537175403,-1.38212243238683,-1.38395028100619,-2.14939855318316,-0.927105462797202,-0.100055597603396,-2.81748591332605,-1.38236105111669,-0.361835492247613,0.197269130906427,-1.07905832037951,NA,-2.06242166476487
16,"1996/1/16",1996,1,16,-0.530383424289016,-0.203952388338816,-0.801822542439999,0.0781945665596143,0.07778380492149,0.804344116673231,0.615714781573839,-0.100128436655266,-2.94515122467477,0.0798935271939137,-0.458481064798825,-0.407232082030656,-0.922477808265273,NA,0.598340899475584
17,"1996/1/17",1996,1,17,-0.266586868343528,-0.0217218200680208,-0.305791966094366,-0.0653615796529803,-0.0659116477197915,0.550759187171038,1.50732136465803,-0.100120298213716,-2.66660872718664,-0.061253393834004,0.585291118754255,0.503837716992405,-0.810221897143866,NA,0.417816709968018
18,"1996/1/18",1996,1,18,-1.33882116887025,0.700898531345853,-0.558645003711384,-0.930290606502152,-0.931679998951632,-1.16668856549424,-0.270020603963066,-0.100141865083823,-2.65629233839079,-0.930597678938488,-0.458481064798825,-0.0445456944221173,-0.741651077846742,NA,-1.19685216481454
19,"1996/1/19",1996,1,19,-0.530383424289016,0.264840562505747,-0.171625048175131,-0.49122605922245,-0.492189384828689,-0.889193910317847,-0.143626767875587,-0.10014715507083,-2.5621552906286,-0.491508452366029,-0.410158278523219,-0.162310223398052,-0.715420175915907,NA,-0.891803359311771
20,"1996/1/20",1996,1,20,-0.42630042942617,-0.459880429464563,-1.0875722762776,0.359767158437559,0.359629633948979,0.914470692130237,1.08704147356457,-0.100169942707169,-2.53442999573973,0.363496956974335,-0.487474736564188,-0.532923529307974,-0.530767416506203,NA,0.750982068549522
21,"1996/1/21",1996,1,21,-0.049448206646901,-1.12613359261408,-1.46040150011086,1.02617582270694,1.02668497907121,1.89091957368922,1.8657905926842,-0.100040134564452,-2.60599994301099,1.03338437270362,-0.516468408329551,-0.797260362714922,-0.27834873727014,NA,1.69415782250442
22,"1996/1/22",1996,1,22,0.258314441956168,-0.799659039468035,-0.704422520296709,0.743391421334284,0.743626164612928,1.34596019063197,1.89677746862823,-0.0854727311126064,-2.4538332082721,0.750380245780216,-0.516468408329551,-0.695684273928346,-0.017748751084653,NA,1.25005680082965
23,"1996/1/23",1996,1,23,-0.150839399918469,-0.0698614994863395,-0.281280702243736,-0.00520389402274002,-0.00569558526233545,0.655516205591041,1.37782884097615,-0.0906833683147874,-2.39967216709386,-0.00127871532835307,2.15094939408387,1.77292538691585,-0.0384666429417517,NA,0.529691161482848
24,"1996/1/24",1996,1,24,-0.192113690984769,-0.212880110703668,-0.534778773119983,0.1561831633263,0.155848081574969,0.770505776100425,0.845506930021915,-0.0982863004104961,-1.93930331707876,0.157936077018439,-0.516468408329551,-0.483043694649719,-0.0692127001229757,NA,0.629147042023901
25,"1996/1/25",1996,1,25,-0.911721983053752,0.3738988180607,-0.554774804156022,-0.518145541569219,-0.519134989755694,-0.155084282202427,0.964724857996041,-0.0984523246181095,-1.69557863177665,-0.515702530667717,2.14128483682875,1.94959608063594,0.0408435199790103,NA,-0.265550698440449
26,"1996/1/26",1996,1,26,-1.00324323715729,0.29389942353644,-0.745704648887244,-0.452621271033835,-0.453547134676134,0.0227189744001892,1.2388771656903,-0.0985792843062845,-1.94639583437591,-0.450045573221486,-0.468145622053946,-0.224992628619446,-0.0267735485753583,NA,-0.107508105707319
27,"1996/1/27",1996,1,27,-1.53532268503373,0.964353867798828,-0.533488706601529,-1.12244896923472,-1.12402483154955,-1.40933175612858,0.169340679159089,-0.0986651448646336,-2.04375675363681,-1.1220860399556,-0.100892446359344,0.318953301896714,-0.161428819626353,NA,-1.41239803852222
28,"1996/1/28",1996,1,28,-0.886598501535132,0.47280397759288,-0.400611855200748,-0.600029240283186,-0.601098148151023,0.531104582167671,1.4681800476761,-0.0986565995010064,-1.77939929074298,-0.596386452343527,0.0634050269777151,0.265703531116363,-0.119359039753676,NA,0.305826031745328
29,"1996/1/29",1996,1,29,-0.313244762592389,-0.469683418727929,-0.895997398287156,0.29735896946,0.297160884262898,1.38851139734029,1.97245068145996,-0.098681421747733,-1.50601498765278,0.302456851167326,0.430658202672317,0.245826484722441,-0.0189064832001374,NA,1.19559553309306
